title,type,select1,select2,select3,select4,answer,img,level,date,update,recommanddate,tag
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git stash,,2,2024-03-17,2024-03-31,,Software Spring Git
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_2,,0,2024-02-12,2024-02-29,,Git Spring Database
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,객관식,일관성,결합성,연결성,확장성,확장성,,2,2024-10-26,2024-11-21,,Database
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,데이터베이스 연결,,1,2024-11-10,2024-12-05,,Spring Programming Database
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,ModelAndView,,2,2024-05-13,2024-05-27,,Software
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,String,,3,2024-03-28,2024-04-07,,Programming
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git add,,3,2024-06-14,2024-12-13,,Database Spring Programming
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,주관식,,,,,정답_Spring MVC_8,,3,2024-03-08,2024-12-13,,Git
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,3,2024-08-22,2024-12-13,,Spring Software
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git add,,0,2024-07-31,2024-12-13,,Software
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,1,2024-05-05,2024-12-13,,Software
데이터베이스 정규화의 목적은 무엇인가요?,주관식,,,,,정답_Database_12,,2,2024-11-01,2024-12-13,,Programming
