title,type,select1,select2,select3,select4,answer,img,level,date,update,recommenddate,solveddate,tag
문제,객관식,1,2,3,4,1,,0,2025-01-12,2025-01-12,2025-01-12,,"태그1,태그2"
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git stash,,0,2024-03-17,2025-01-07,2025-01-13,2025-01-09,"Software,Spring,Git"
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_2,,0,2024-02-12,2025-01-07,2025-01-13,2025-01-09,"Git,Spring,Database"
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,ModelAndView,,0,2024-05-13,2025-01-07,2025-01-13,2025-01-06,Software
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,주관식,,,,,정답_Spring MVC_8,,0,2024-03-08,2025-01-07,2025-01-13,2025-01-06,Git
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,0,2024-08-22,2025-01-07,2025-01-13,2025-01-09,"Spring,Software"
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git add,,0,2024-07-31,2025-01-07,2025-01-13,2025-01-06,Software
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,0,2024-05-05,2025-01-07,2025-01-13,2025-01-06,Software
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,데이터베이스 연결,,0,2024-11-24,2025-01-07,2025-01-13,2025-01-09,"Git,Spring,Database"
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git stash,,0,2024-08-19,2025-01-07,2025-01-13,2025-01-09,"Software,Database,Spring"
Spring MVC에서 View Resolver의 역할은 무엇인가요?,주관식,,,,,정답_Spring MVC_16,,0,2024-06-17,2025-01-07,2025-01-13,2025-01-06,Software
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,객관식,git branch,git checkout,git merge,git commit,git commit,,0,2024-01-28,2025-01-07,2025-01-13,2025-01-06,"Programming,Software"
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,객관식,일관성,결합성,연결성,확장성,일관성,,2,2024-11-04,2025-01-09,2025-01-13,2025-01-06,"Git,Database"
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,주관식,,,,,정답_Git_25,,0,2024-04-20,2025-01-07,2025-01-13,2025-01-06,Git
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,객관식,git branch,git checkout,git merge,git commit,git checkout,,0,2024-04-09,2025-01-07,2025-01-13,2025-01-06,"Software,Programming"
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,View 경로 처리,,0,2024-05-10,2025-01-07,2025-01-13,2025-01-06,"Database,Git"
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_28,,0,2024-01-03,2025-01-07,2025-01-13,2025-01-06,Software
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,String,,0,2024-01-05,2025-01-07,2025-01-13,2025-01-09,"Spring,Database,Git"
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_31,,0,2024-06-28,2025-01-07,2025-01-13,2025-01-09,"Software,Spring"
Spring MVC의 주요 구성 요소는 무엇인가요?,주관식,,,,,정답_Spring MVC_32,,0,2024-03-14,2025-01-02,2025-01-13,2025-01-01,"Git,Database"
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,0,2024-09-28,2025-01-07,2025-01-13,2025-01-09,"Spring,Git,Software"
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,데이터베이스 연결,,0,2024-06-19,2025-01-07,2025-01-13,2025-01-06,"Software,Database"
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,주관식,,,,,정답_Database_35,,0,2024-07-24,2025-01-07,2025-01-13,2025-01-09,"Software,Programming,Spring"
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,객관식,git branch,git checkout,git merge,git commit,git branch,,0,2024-05-07,2025-01-07,2025-01-13,2025-01-09,"Database,Spring,Software"
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,주관식,,,,,정답_Spring MVC_39,,0,2024-10-12,2025-01-07,2025-01-13,2025-01-09,"Git,Spring,Software"
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,String,,0,2024-11-13,2025-01-07,2025-01-13,2025-01-09,"Programming,Software,Spring"
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_41,,0,2023-12-23,2025-01-07,2025-01-13,2025-01-09,"Software,Git,Spring"
Spring MVC의 주요 구성 요소는 무엇인가요?,주관식,,,,,정답_Spring MVC_42,,0,2024-01-29,2025-01-02,2025-01-13,2025-01-01,"Git,Programming"
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,객관식,수동 해결,git reset,git checkout,git pull,git checkout,,0,2023-12-22,2025-01-07,2025-01-13,2025-01-06,Software
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,Model 생성,,0,2024-03-20,2025-01-07,2025-01-13,2025-01-06,"Git,Programming,Database"
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_49,,0,2024-09-28,2025-01-07,2025-01-13,2025-01-09,"Spring,Git"
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,객관식,일관성,결합성,연결성,확장성,결합성,,2,2024-07-08,2025-01-09,2025-01-13,2025-01-09,"Git,Spring,Programming"
